Transaction ID,Product ID,Location ID,Transaction Type,Quantity,Unit Cost,Transaction Date,Reference Number,Created By User
TXN-00240,MEC-HIN-102,BAN-001,TRANSFER,-27,1234.45,4/14/2025,PO-0077,Emily Wang
TXN-00241,ELE-RAD-133,HYD-003,ISSUE,-13,2053.17,4/18/2025,PO-0029,Samuel Wright
TXN-00242,QUA-WEI-220,DAL-003,RECEIPT,405,995.46,7/27/2025,PO-0036,Tuan Nguyen
TXN-00243,PLA-FEN-131,FRA-003,TRANSFER,-484,1382.65,6/27/2025,PO-0020,Chloe Smith
TXN-00244,PLA-SWI-010,MUN-002,ISSUE,-89,1744.51,3/8/2025,PO-0034,James Walker
TXN-00245,BRA-BRA-150,NEW-001,RECEIPT,141,366.36,4/18/2025,PO-0012,Noah Becker
TXN-00246,TOO-PUN-103,TOK-001,RECEIPT,385,2029.74,2/20/2025,PO-0093,Amelia Clarke
TXN-00247,PAC-COR-203,MUN-002,RECEIPT,259,461.7,7/27/2025,PO-0090,Noah Becker
TXN-00248,LIG-SID-210,BRA-003,RECEIPT,314,715.28,7/15/2025,PO-0039,Fatima Noor
TXN-00249,BRA-CAL-188,SAO-001,TRANSFER,-205,812.06,2/21/2025,PO-0100,Zanele Dlamini
TXN-00250,CAB-FUE-198,DAL-003,ISSUE,-460,1505.02,5/23/2025,PO-0054,Daniel Kim
TXN-00251,CAB-FUE-198,NEW-001,TRANSFER,-344,1505.02,7/5/2025,PO-0002,Vinay Kumar
TXN-00252,QUA-TEM-200,OSA-002,ISSUE,-37,1908.89,4/20/2025,PO-0068,Sophia Miller
TXN-00253,LIG-HAL-082,FRA-003,TRANSFER,-86,2402.36,4/25/2025,PO-0065,Ryan White
TXN-00254,QUA-VIB-057,HYD-003,RECEIPT,354,2039.37,5/12/2025,PO-0058,Alicia Thomas
TXN-00255,ELE-MAP-153,TOK-001,TRANSFER,-56,1728.88,3/29/2025,PO-0056,Olivia Jones
TXN-00256,BRA-BRA-202,BER-001,RECEIPT,77,690.44,4/28/2025,PO-0011,Yara Mahmoud
TXN-00257,QUA-MIC-147,NAG-003,RECEIPT,290,740.49,5/14/2025,PO-0034,Isla Thompson
TXN-00258,TOO-PUN-103,FRA-003,ISSUE,-406,2029.74,7/29/2025,PO-0017,Olivier Laurent
TXN-00259,QUA-IMP-035,MUN-002,TRANSFER,-111,2053.14,6/5/2025,PO-0051,Santiago Herrera
TXN-00260,QUA-MIC-147,NEW-001,TRANSFER,-325,740.49,6/15/2025,PO-0032,David Lopez
TXN-00261,PLA-BUM-019,CHI-002,ISSUE,-175,540.75,7/26/2025,PO-0074,Mohammed Ali
TXN-00262,RAW-FIB-029,OSA-002,ISSUE,-226,777.56,5/5/2025,PO-0045,Ines Costa
TXN-00263,RAW-POL-083,DAL-003,TRANSFER,-345,448.58,2/7/2025,PO-0099,Diana Mihai
TXN-00264,BRA-BRA-044,DAL-003,TRANSFER,-430,1011.98,5/25/2025,PO-0080,Nora Lindberg
TXN-00265,BRA-CAL-113,BAN-001,RECEIPT,112,158.5,7/26/2025,PO-0048,Chen Wei
TXN-00266,ELE-OXY-194,NAG-003,RECEIPT,67,2384.45,2/14/2025,PO-0032,Dmitri Fedorov
TXN-00267,BRA-BRA-038,RIO-002,ISSUE,-17,2193.83,4/29/2025,PO-0089,Natalie Becker
TXN-00268,RAW-FIB-029,CHI-002,ISSUE,-251,777.56,2/6/2025,PO-0043,Lea Zimmermann
TXN-00269,MEC-ANC-190,FRA-003,RECEIPT,114,744.3,6/20/2025,PO-0067,Alicia Thomas
TXN-00270,TOO-SOC-067,FRA-003,ISSUE,-328,846.96,3/9/2025,PO-0089,Ryan White
TXN-00271,LIG-HEA-172,BAN-001,ISSUE,-308,1640.76,7/20/2025,PO-0068,Sophia Miller
TXN-00272,LIG-CAB-066,HYD-003,RECEIPT,155,1225.69,3/24/2025,PO-0090,Dmitri Fedorov
TXN-00273,CAB-BRA-070,BAN-001,ISSUE,-345,657.79,2/3/2025,PO-0009,Mason Hill
TXN-00274,TOO-SCR-170,CHI-002,TRANSFER,-446,252.01,7/19/2025,PO-0047,Lucas Schmidt
TXN-00275,PLA-MUD-005,CHI-002,TRANSFER,-207,1161.94,4/1/2025,PO-0049,Aditya Varma
TXN-00276,BRA-DIS-182,DEL-002,ISSUE,-258,816.19,7/3/2025,PO-0069,Mohammed Ali
TXN-00277,PLA-BOO-048,NEW-001,TRANSFER,-244,1110.98,6/24/2025,PO-0092,Emily Wang
TXN-00278,CAB-SPE-011,NEW-001,TRANSFER,-166,748.8,4/27/2025,PO-0063,Laura Rossi
TXN-00279,PLA-AIR-191,HYD-003,RECEIPT,187,1757.43,7/26/2025,PO-0046,Aisha Khan
TXN-00280,CAB-ABS-161,CHI-002,RECEIPT,266,447.34,4/12/2025,PO-0008,Elif Yilmaz
TXN-00281,LIG-CAB-066,BRA-003,ISSUE,-465,1225.69,2/8/2025,PO-0072,Rania El-Sayed
TXN-00282,ELE-ELE-058,HYD-003,ISSUE,-469,406.3,5/12/2025,PO-0085,Juan Perez
TXN-00283,ELE-PAR-023,NAG-003,ISSUE,-276,1516.03,7/24/2025,PO-0079,Elif Yilmaz
TXN-00284,ELE-IGN-176,NEW-001,ISSUE,-133,538.14,6/27/2025,PO-0020,Laila Haddad
TXN-00285,BRA-BRA-080,BRA-003,TRANSFER,-178,1336.54,5/26/2025,PO-0070,Grace O'Connor
TXN-00286,RAW-ALU-053,OSA-002,RECEIPT,307,1005.14,6/19/2025,PO-0088,Natalie Becker
TXN-00287,PLA-DOO-052,RIO-002,RECEIPT,168,1041.96,7/27/2025,PO-0091,Samuel Kim
TXN-00288,QUA-IMP-035,BER-001,RECEIPT,345,2053.14,6/25/2025,PO-0021,Omar Farouk
TXN-00289,CAB-STE-018,FRA-003,TRANSFER,-495,1151.13,3/3/2025,PO-0024,Omar Farouk
TXN-00290,ELE-RAI-215,BRA-003,RECEIPT,382,2155.79,2/8/2025,PO-0098,Omar Farouk
TXN-00291,LIG-REV-106,BER-001,ISSUE,-236,1556.36,7/14/2025,PO-0095,Rania El-Sayed
TXN-00292,CAB-POW-039,SAO-001,RECEIPT,64,1495.46,3/6/2025,PO-0024,Carlos Silva
TXN-00293,BRA-BRA-196,TOK-001,TRANSFER,-146,1395.36,7/6/2025,PO-0073,Marie Dubois
TXN-00294,CAB-CHO-060,TOK-001,RECEIPT,128,1105.28,7/26/2025,PO-0004,Aisha Khan
TXN-00295,TOO-ASS-021,NAG-003,ISSUE,-78,1672.98,6/9/2025,PO-0078,Yara Mahmoud
TXN-00296,RAW-BRA-183,OSA-002,ISSUE,-104,1058.19,5/11/2025,PO-0063,Yara Mahmoud
TXN-00297,PAC-AIR-036,HYD-003,RECEIPT,125,490.89,2/9/2025,PO-0053,Olivier Laurent
TXN-00298,PLA-SPO-004,BRA-003,ISSUE,-496,483.62,5/17/2025,PO-0029,Victor Hugo
TXN-00299,LIG-HEA-172,NEW-001,RECEIPT,43,1640.76,3/18/2025,PO-0057,Marie Dubois
TXN-00300,ELE-SPE-126,NAG-003,ISSUE,-453,2203.31,5/29/2025,PO-0032,Laila Haddad
TXN-00301,TOO-MEA-104,SAO-001,RECEIPT,321,1399.6,5/9/2025,PO-0093,Omar Farouk
TXN-00302,PLA-STO-101,TOK-001,TRANSFER,-302,638.67,7/3/2025,PO-0069,Samuel Kim
TXN-00303,BRA-BRA-165,BRA-003,TRANSFER,-412,1978.8,2/10/2025,PO-0067,Lucas Schmidt
TXN-00304,QUA-GO/-116,MUN-002,RECEIPT,459,812.58,4/4/2025,PO-0067,Gabriel Torres
TXN-00305,MEC-HIN-102,NAG-003,RECEIPT,295,1234.45,5/11/2025,PO-0067,Olivier Laurent
TXN-00306,ELE-KNO-162,BAN-001,RECEIPT,159,2284.58,5/24/2025,PO-0051,Igor Popov
TXN-00307,BRA-BRA-199,RIO-002,ISSUE,-246,1210.65,3/15/2025,PO-0055,Olivia Jones
TXN-00308,QUA-COA-157,BRA-003,RECEIPT,363,2261.35,6/13/2025,PO-0019,Mateusz Kowalski
TXN-00309,CAB-CLU-213,OSA-002,ISSUE,-56,827.02,6/9/2025,PO-0015,William Brown
TXN-00310,QUA-TEM-200,TOK-001,TRANSFER,-289,1908.89,3/7/2025,PO-0051,Natalie Singh
TXN-00311,RAW-POL-083,MUN-002,RECEIPT,101,448.58,5/28/2025,PO-0076,Andreas Bauer
TXN-00312,PLA-DOO-052,BRA-003,ISSUE,-56,1041.96,4/6/2025,PO-0042,Zara Khalid
TXN-00313,BRA-DRU-167,BRA-003,TRANSFER,-417,1690.34,3/14/2025,PO-0092,Jasmin Berger
TXN-00314,BRA-BRA-032,DEL-002,RECEIPT,371,71.72,5/27/2025,PO-0082,James Walker
TXN-00315,QUA-COL-022,FRA-003,TRANSFER,-206,297.42,6/11/2025,PO-0079,Elena Rossi
TXN-00316,LIG-HIG-097,FRA-003,ISSUE,-32,747.65,3/16/2025,PO-0043,Lucia Alvarez
TXN-00317,PLA-SEA-169,RIO-002,RECEIPT,93,358.04,3/10/2025,PO-0023,Jason Zhao
TXN-00318,RAW-BRA-183,BAN-001,ISSUE,-167,1058.19,4/21/2025,PO-0094,Jason Zhao
TXN-00319,TOO-WEL-115,CHI-002,TRANSFER,-102,1354.55,3/3/2025,PO-0017,Raj Patel
TXN-00320,LIG-DAS-001,TOK-001,ISSUE,-16,244.87,5/29/2025,PO-0064,Chen Xi
TXN-00321,PAC-SEA-140,SAO-001,RECEIPT,321,2178.62,6/7/2025,PO-0031,Samuel Wright
TXN-00322,TOO-CUT-151,OSA-002,ISSUE,-242,1670.43,5/16/2025,PO-0057,Isla Thompson
TXN-00323,RAW-RUB-154,TOK-001,RECEIPT,135,2134.81,6/21/2025,PO-0036,Dmitri Fedorov
TXN-00324,CAB-ABS-161,FRA-003,RECEIPT,35,447.34,3/20/2025,PO-0019,Zanele Dlamini
TXN-00325,RAW-PVC-168,DAL-003,RECEIPT,84,167.41,2/9/2025,PO-0086,Noah Becker
TXN-00326,ELE-RAI-215,TOK-001,ISSUE,-179,2155.79,2/23/2025,PO-0007,Lucas Schmidt
TXN-00327,MEC-WAS-107,HYD-003,RECEIPT,354,535.45,4/14/2025,PO-0079,Keiko Mori
TXN-00328,PAC-HON-178,NAG-003,TRANSFER,-303,1915.24,6/24/2025,PO-0023,Ella Fischer
TXN-00329,PAC-STR-192,TOK-001,ISSUE,-486,2221.35,2/10/2025,PO-0012,Jason Zhao
TXN-00330,LIG-STE-077,DAL-003,ISSUE,-469,279.17,5/9/2025,PO-0009,Olivier Laurent
TXN-00331,LIG-SIG-110,RIO-002,TRANSFER,-43,1760.44,4/16/2025,PO-0061,Juan Perez
TXN-00332,BRA-BRA-032,NAG-003,ISSUE,-178,71.72,6/15/2025,PO-0053,Samuel Kim
TXN-00333,MEC-NUT-054,NAG-003,RECEIPT,323,1068.61,2/15/2025,PO-0014,Noah Becker
TXN-00334,CAB-AC-187,OSA-002,TRANSFER,-54,1718.38,6/4/2025,PO-0093,Zara Khalid
TXN-00335,PLA-SPE-155,BRA-003,TRANSFER,-157,2481.8,5/21/2025,PO-0078,Omar Farouk
TXN-00336,TOO-SOC-067,FRA-003,TRANSFER,-329,846.96,5/2/2025,PO-0017,Marie Dubois
TXN-00337,PLA-BEZ-145,MUN-002,TRANSFER,-383,2446.06,7/12/2025,PO-0064,Chen Xi
TXN-00338,BRA-BRA-207,HYD-003,TRANSFER,-129,401.95,8/1/2025,PO-0038,Ines Costa
TXN-00339,LIG-DAS-001,DEL-002,RECEIPT,248,244.87,7/11/2025,PO-0016,Neha Kapoor
TXN-00340,ELE-GPS-218,NEW-001,TRANSFER,-222,1155.64,5/17/2025,PO-0006,Ivan Petrov
TXN-00341,PAC-FOA-090,FRA-003,TRANSFER,-118,1897.83,2/3/2025,PO-0082,Raj Patel
TXN-00342,RAW-STA-177,CHI-002,ISSUE,-414,840.44,2/18/2025,PO-0040,Igor Popov
TXN-00343,MEC-CHA-130,FRA-003,ISSUE,-402,690.83,2/2/2025,PO-0015,Jacob Scott
TXN-00344,QUA-THI-086,DAL-003,ISSUE,-380,1428.93,6/26/2025,PO-0079,Carlos Silva
TXN-00345,TOO-PLI-214,HYD-003,RECEIPT,179,956.72,4/28/2025,PO-0087,Nikhil Rao
TXN-00346,QUA-MEA-122,SAO-001,RECEIPT,340,1142.52,3/7/2025,PO-0062,Chen Wei
TXN-00347,CAB-ABS-161,MUN-002,TRANSFER,-468,447.34,4/27/2025,PO-0060,Katerina Ivanova
TXN-00348,PAC-SHR-209,BER-001,TRANSFER,-38,546.77,6/14/2025,PO-0039,Lucia Alvarez
TXN-00349,MEC-BEA-186,OSA-002,ISSUE,-294,2410.43,6/18/2025,PO-0003,Lea Zimmermann
TXN-00350,PAC-CAR-148,OSA-002,ISSUE,-419,1036.01,5/2/2025,PO-0009,Chen Wei
TXN-00351,RAW-COP-072,RIO-002,RECEIPT,183,1181.06,5/8/2025,PO-0081,Gabriel Torres
TXN-00352,RAW-COP-216,HYD-003,TRANSFER,-320,203.88,5/11/2025,PO-0024,Camila Morales
TXN-00353,TOO-VER-030,RIO-002,ISSUE,-371,1708.35,4/22/2025,PO-0091,Fatima Noor
TXN-00354,CAB-BRA-070,BER-001,RECEIPT,264,657.79,4/2/2025,PO-0048,Ravi Shankar
TXN-00355,CAB-CLU-213,CHI-002,RECEIPT,278,827.02,4/19/2025,PO-0023,Ananya Iyer
TXN-00356,BRA-BRA-096,SAO-001,RECEIPT,408,1849.13,3/24/2025,PO-0012,Chiara Romano
TXN-00357,MEC-CHA-130,BAN-001,ISSUE,-473,690.83,6/9/2025,PO-0020,Ines Costa
TXN-00358,LIG-DAY-088,BRA-003,ISSUE,-385,857.44,6/15/2025,PO-0040,Priya Desai
TXN-00359,CAB-IGN-084,HYD-003,RECEIPT,430,1094.58,6/13/2025,PO-0087,Grace O'Connor
TXN-00360,RAW-ALU-053,NAG-003,RECEIPT,245,1005.14,5/11/2025,PO-0092,Clara Weber
TXN-00361,TOO-VER-030,BAN-001,ISSUE,-487,1708.35,2/12/2025,PO-0088,Camila Morales
TXN-00362,ELE-PAR-023,DAL-003,ISSUE,-465,1516.03,2/12/2025,PO-0014,Clara Weber
TXN-00363,BRA-PAR-197,OSA-002,TRANSFER,-169,890.46,2/6/2025,PO-0074,Olivier Laurent
TXN-00364,BRA-BRA-080,OSA-002,RECEIPT,174,1336.54,3/24/2025,PO-0025,Pedro Ramos
TXN-00365,RAW-GLA-071,FRA-003,ISSUE,-405,1905.46,5/24/2025,PO-0086,Daniel Kim
TXN-00366,CAB-BRA-070,HYD-003,RECEIPT,150,657.79,3/2/2025,PO-0002,Dmitri Fedorov
TXN-00367,RAW-FOA-144,FRA-003,RECEIPT,115,1714.15,6/19/2025,PO-0045,Tuan Nguyen
TXN-00368,LIG-HAL-082,CHI-002,RECEIPT,492,2402.36,7/31/2025,PO-0037,Noah Becker
TXN-00369,MEC-LOC-063,HYD-003,RECEIPT,169,1024.92,7/7/2025,PO-0044,Freya Evans
TXN-00370,TOO-RIV-114,BAN-001,RECEIPT,24,1177.06,6/1/2025,PO-0087,Takeshi Yamamoto
TXN-00371,LIG-INS-028,BER-001,RECEIPT,54,929.35,5/21/2025,PO-0051,Mia Johansson
TXN-00372,MEC-CRA-181,TOK-001,TRANSFER,-332,2167.46,7/27/2025,PO-0090,Ravi Shankar
TXN-00373,MEC-FAS-158,DAL-003,ISSUE,-180,1595.18,3/23/2025,PO-0092,Olivier Laurent
TXN-00374,LIG-HEA-172,SAO-001,TRANSFER,-50,1640.76,5/31/2025,PO-0073,Grace O'Connor
TXN-00375,LIG-NUM-024,RIO-002,TRANSFER,-249,1226.44,2/25/2025,PO-0059,Diana Mihai
TXN-00376,ELE-IGN-176,OSA-002,TRANSFER,-402,538.14,5/31/2025,PO-0061,Ahmed Khan
TXN-00377,ELE-ELE-058,HYD-003,TRANSFER,-142,406.3,5/5/2025,PO-0051,William Brown
TXN-00378,LIG-HAZ-180,BRA-003,TRANSFER,-179,2468.94,4/25/2025,PO-0059,Zoey Martin
TXN-00379,PAC-BUB-008,DEL-002,ISSUE,-67,1208.58,5/1/2025,PO-0062,Mateusz Kowalski
TXN-00380,PLA-GEA-217,HYD-003,ISSUE,-403,730.89,5/1/2025,PO-0078,Noah Becker
TXN-00381,ELE-TEM-033,FRA-003,RECEIPT,217,674.35,2/28/2025,PO-0042,Ali Reza
TXN-00382,BRA-DRU-167,DEL-002,ISSUE,-282,1690.34,5/30/2025,PO-0052,Leo Schneider
TXN-00383,LIG-REV-106,NEW-001,TRANSFER,-134,1556.36,6/21/2025,PO-0021,Nikhil Rao
TXN-00384,TOO-DEB-099,DEL-002,ISSUE,-116,1598.3,7/28/2025,PO-0076,Ben Williams
TXN-00385,QUA-DIA-201,BER-001,TRANSFER,-413,2323.42,4/29/2025,PO-0070,Zara Khalid
TXN-00386,ELE-TRA-061,HYD-003,TRANSFER,-352,806.08,2/20/2025,PO-0095,Andreas Bauer
TXN-00387,QUA-MIC-147,RIO-002,ISSUE,-68,740.49,7/2/2025,PO-0077,Mateusz Kowalski
TXN-00388,CAB-IGN-084,FRA-003,RECEIPT,430,1094.58,5/25/2025,PO-0023,Diana Mihai
TXN-00389,TOO-MEA-104,DEL-002,TRANSFER,-65,1399.6,7/26/2025,PO-0077,Jason Zhao
TXN-00390,LIG-SID-210,BER-001,ISSUE,-263,715.28,7/16/2025,PO-0085,Zanele Dlamini
TXN-00391,LIG-NUM-024,NEW-001,RECEIPT,464,1226.44,6/29/2025,PO-0097,Vinay Kumar
TXN-00392,QUA-SUR-208,BAN-001,RECEIPT,348,1658.23,3/11/2025,PO-0058,Gabriel Torres
TXN-00393,RAW-SHE-075,BER-001,TRANSFER,-305,1189.17,5/26/2025,PO-0026,Lea Zimmermann
TXN-00394,ELE-CON-175,BRA-003,ISSUE,-163,696.94,6/26/2025,PO-0087,Igor Popov
TXN-00395,MEC-LAT-112,NAG-003,ISSUE,-55,1365.96,6/30/2025,PO-0002,Marie Dubois
TXN-00396,PLA-FEN-131,BER-001,RECEIPT,446,1382.65,4/17/2025,PO-0008,Anna Petrova
TXN-00397,MEC-HOO-141,BAN-001,RECEIPT,370,2423.32,6/24/2025,PO-0046,Ananya Iyer
TXN-00398,TOO-TES-073,RIO-002,RECEIPT,130,1628.86,5/22/2025,PO-0090,Leo Schneider
TXN-00399,PLA-STO-101,OSA-002,ISSUE,-374,638.67,5/9/2025,PO-0052,Khaled Hamdan
TXN-00400,MEC-LAT-112,FRA-003,RECEIPT,349,1365.96,3/17/2025,PO-0061,Juan Perez
TXN-00401,LIG-DOO-049,FRA-003,ISSUE,-441,221.14,5/4/2025,PO-0054,Chen Wei
TXN-00402,PLA-ROO-074,RIO-002,TRANSFER,-74,506.41,3/7/2025,PO-0002,Emma Dubois
TXN-00403,LIG-ROO-166,BAN-001,RECEIPT,379,1685.34,6/5/2025,PO-0085,Ben Williams
TXN-00404,QUA-IMP-035,DEL-002,RECEIPT,338,2053.14,5/18/2025,PO-0059,Katerina Ivanova
TXN-00405,CAB-TAI-179,TOK-001,ISSUE,-329,1938.18,3/19/2025,PO-0059,Aditya Varma
TXN-00406,PLA-CEN-109,FRA-003,ISSUE,-206,1488.59,5/2/2025,PO-0029,William Brown
TXN-00407,PLA-CEN-109,TOK-001,RECEIPT,305,1488.59,6/8/2025,PO-0094,Hannah Becker
TXN-00408,RAW-BRA-183,FRA-003,ISSUE,-220,1058.19,6/20/2025,PO-0074,James Walker
TXN-00409,PAC-CAB-009,BAN-001,TRANSFER,-257,15.37,7/31/2025,PO-0048,Ananya Iyer
TXN-00410,CAB-DOO-149,MUN-002,TRANSFER,-50,206.63,3/9/2025,PO-0094,Jasmin Berger
TXN-00411,PAC-PAP-135,RIO-002,ISSUE,-248,2332.8,6/13/2025,PO-0011,Clara Weber
TXN-00412,QUA-COA-157,DEL-002,RECEIPT,251,2261.35,7/12/2025,PO-0095,Keiko Mori
TXN-00413,LIG-HEA-172,DEL-002,TRANSFER,-334,1640.76,6/19/2025,PO-0075,Diana Mihai
TXN-00414,QUA-COA-157,BAN-001,ISSUE,-283,2261.35,2/3/2025,PO-0061,Ella Fischer
TXN-00415,MEC-STU-132,BRA-003,ISSUE,-303,1933.96,4/26/2025,PO-0054,Aisha Khan
TXN-00416,LIG-XEN-205,CHI-002,ISSUE,-95,946.72,2/10/2025,PO-0089,Camila Morales
TXN-00417,PAC-STR-192,CHI-002,TRANSFER,-411,2221.35,6/25/2025,PO-0034,Zanele Dlamini
TXN-00418,ELE-KNO-162,MUN-002,TRANSFER,-96,2284.58,6/27/2025,PO-0007,Keiko Mori
TXN-00419,RAW-SHE-075,SAO-001,TRANSFER,-329,1189.17,2/7/2025,PO-0037,Zoey Martin
TXN-00420,QUA-COL-022,HYD-003,TRANSFER,-49,297.42,4/13/2025,PO-0033,Grace O'Connor
TXN-00421,MEC-FAS-158,CHI-002,ISSUE,-449,1595.18,4/7/2025,PO-0002,Neha Kapoor
TXN-00422,RAW-FIB-029,TOK-001,RECEIPT,475,777.56,7/2/2025,PO-0095,Chen Wei
TXN-00423,PLA-SEA-169,MUN-002,ISSUE,-423,358.04,3/17/2025,PO-0034,Katerina Ivanova
TXN-00424,LIG-HAZ-180,NEW-001,ISSUE,-102,2468.94,6/16/2025,PO-0005,Emily Chan
TXN-00425,QUA-COL-022,HYD-003,TRANSFER,-488,297.42,3/12/2025,PO-0064,Alicia Thomas
TXN-00426,LIG-REV-106,SAO-001,ISSUE,-131,1556.36,7/20/2025,PO-0057,Akira Kobayashi
TXN-00427,BRA-BRA-164,HYD-003,RECEIPT,305,360.48,4/30/2025,PO-0007,Linda Taylor
TXN-00428,LIG-GLO-068,SAO-001,RECEIPT,36,2299.66,3/15/2025,PO-0060,Haruto Saito
TXN-00429,QUA-MEA-122,CHI-002,ISSUE,-392,1142.52,6/17/2025,PO-0030,Khaled Hamdan
TXN-00430,ELE-CON-175,NAG-003,ISSUE,-252,696.94,4/9/2025,PO-0019,Samuel Kim
TXN-00431,MEC-LAT-112,BAN-001,ISSUE,-484,1365.96,5/26/2025,PO-0049,Sara Cohen
TXN-00432,BRA-BRA-081,FRA-003,TRANSFER,-499,859.67,2/11/2025,PO-0013,Gabriel Torres
TXN-00433,BRA-BRA-164,DAL-003,ISSUE,-322,360.48,7/17/2025,PO-0035,Ivan Petrov
TXN-00434,CAB-BRA-070,CHI-002,RECEIPT,140,657.79,7/18/2025,PO-0075,Laura Rossi
TXN-00435,CAB-HEA-119,SAO-001,TRANSFER,-393,1111.15,4/3/2025,PO-0094,Sara Cohen
TXN-00436,TOO-CUT-151,SAO-001,RECEIPT,276,1670.43,4/28/2025,PO-0087,Zara Khalid
TXN-00437,MEC-RET-047,DAL-003,TRANSFER,-15,1966.54,7/23/2025,PO-0002,Tom Novak
TXN-00438,PLA-SPO-004,BER-001,RECEIPT,278,483.62,2/27/2025,PO-0088,Ravi Shankar
TXN-00439,PAC-FOA-090,NEW-001,TRANSFER,-155,1897.83,4/6/2025,PO-0025,Fatima Noor
TXN-00440,CAB-STA-007,TOK-001,RECEIPT,39,2316.65,7/3/2025,PO-0085,Samuel Wright
TXN-00441,RAW-RUB-154,OSA-002,RECEIPT,372,2134.81,3/3/2025,PO-0012,Tariq Abdullah
TXN-00442,RAW-LEA-034,BER-001,TRANSFER,-401,2147.9,7/16/2025,PO-0073,Natalie Becker
TXN-00443,PLA-BOO-048,BRA-003,RECEIPT,366,1110.98,3/20/2025,PO-0033,Olivia Jones
TXN-00444,MEC-PUL-120,OSA-002,RECEIPT,337,1180.33,5/28/2025,PO-0036,Jason Zhao
TXN-00445,LIG-SIG-110,NAG-003,TRANSFER,-404,1760.44,4/24/2025,PO-0033,Elena Rossi
TXN-00446,QUA-TEM-200,DEL-002,ISSUE,-407,1908.89,2/16/2025,PO-0049,Mason Hill
TXN-00447,QUA-THI-086,BAN-001,ISSUE,-499,1428.93,4/9/2025,PO-0023,Chiara Romano
TXN-00448,CAB-STE-018,MUN-002,RECEIPT,322,1151.13,5/12/2025,PO-0023,Linda Taylor
TXN-00449,ELE-SPE-126,DEL-002,RECEIPT,286,2203.31,5/22/2025,PO-0028,Marie Dubois
TXN-00450,BRA-BRA-165,DEL-002,ISSUE,-376,1978.8,4/8/2025,PO-0014,Fatima Noor
TXN-00451,PLA-BUM-019,DEL-002,TRANSFER,-382,540.75,4/6/2025,PO-0100,Ravi Shankar
TXN-00452,PLA-MUD-005,BRA-003,ISSUE,-86,1161.94,7/18/2025,PO-0082,Aarav Mehta
TXN-00453,PLA-SWI-010,OSA-002,ISSUE,-146,1744.51,3/11/2025,PO-0090,Ivan Petrov
TXN-00454,PLA-STO-101,TOK-001,RECEIPT,273,638.67,8/1/2025,PO-0099,Zoey Martin
TXN-00455,PAC-SIL-123,BER-001,ISSUE,-442,1016.4,2/18/2025,PO-0070,Julia Novak
TXN-00456,LIG-DAS-001,BER-001,TRANSFER,-428,244.87,6/4/2025,PO-0016,Lucia Alvarez
TXN-00457,PLA-LIG-138,BRA-003,ISSUE,-180,324.35,7/25/2025,PO-0039,Haruto Saito
TXN-00458,TOO-GRI-015,OSA-002,TRANSFER,-56,214.14,5/5/2025,PO-0069,Emily Chan
TXN-00459,TOO-ASS-021,RIO-002,ISSUE,-399,1672.98,4/16/2025,PO-0083,Raj Patel
TXN-00460,CAB-BAT-046,FRA-003,RECEIPT,206,1374.36,7/20/2025,PO-0025,Igor Popov
TXN-00461,CAB-TAI-179,BER-001,RECEIPT,332,1938.18,7/27/2025,PO-0046,Zoey Martin
TXN-00462,QUA-COL-022,BRA-003,TRANSFER,-234,297.42,3/21/2025,PO-0018,Fatima Noor
TXN-00463,TOO-SAW-050,BAN-001,TRANSFER,-313,2380.48,4/3/2025,PO-0063,Mason Hill
TXN-00464,PLA-PIL-017,SAO-001,TRANSFER,-339,1682.51,4/20/2025,PO-0064,Gabriel Torres
TXN-00465,TOO-PLI-214,SAO-001,ISSUE,-18,956.72,2/10/2025,PO-0044,Zanele Dlamini
TXN-00466,ELE-TOU-087,SAO-001,TRANSFER,-31,2128.87,5/15/2025,PO-0016,Samuel Wright
TXN-00467,BRA-BRA-207,OSA-002,TRANSFER,-277,401.95,5/29/2025,PO-0087,Gabriel Torres
TXN-00468,CAB-POW-039,NAG-003,TRANSFER,-129,1495.46,2/19/2025,PO-0005,Neha Kapoor
TXN-00469,BRA-BRA-037,MUN-002,TRANSFER,-19,1607.29,6/1/2025,PO-0080,Sophia Miller
TXN-00470,MEC-LOC-063,NAG-003,TRANSFER,-76,1024.92,2/4/2025,PO-0023,Elif Yilmaz
TXN-00471,CAB-WIN-013,BRA-003,ISSUE,-430,209.48,2/25/2025,PO-0059,Marie Dubois
TXN-00472,BRA-BRA-044,RIO-002,TRANSFER,-42,1011.98,2/28/2025,PO-0015,Chen Xi
TXN-00473,ELE-MAP-153,SAO-001,TRANSFER,-122,1728.88,2/17/2025,PO-0026,Laila Haddad
TXN-00474,ELE-TOU-087,SAO-001,TRANSFER,-357,2128.87,5/14/2025,PO-0042,Daniel Kim
TXN-00475,ELE-IGN-176,TOK-001,TRANSFER,-80,538.14,4/24/2025,PO-0028,Olivier Laurent
TXN-00476,ELE-SEN-012,TOK-001,RECEIPT,181,134.85,2/17/2025,PO-0016,Rania El-Sayed
TXN-00477,BRA-BRA-037,SAO-001,ISSUE,-96,1607.29,7/29/2025,PO-0048,Tuan Nguyen
TXN-00478,BRA-BRA-043,MUN-002,RECEIPT,483,1802.19,6/29/2025,PO-0006,Juan Perez
TXN-00479,TOO-HAM-026,SAO-001,TRANSFER,-323,1596.41,5/8/2025,PO-0100,Elena Rossi
